,index,Client,expected_revenue_CL,probabilities_CL,expected_revenue_CC,probabilities_CC,expected_revenue_MF,probabilities_MF,offer_CL,offer_CC,offer_MF,max_possible_ER
0,0,243,26.77398410317677,0.6542027100561568,6.251723445420596,0.5684889672298691,0.0,0.0,1,0,0,26.77398410317677
1,1,697,18.247984584624696,0.6630276106681887,0.0,0.0,1.722962853417431,0.3129351139290296,1,0,0,18.247984584624696
2,100,153,0.0,0.0,14.548755169175973,0.8705614732644589,0.0,0.0,0,1,0,14.548755169175973
3,2,532,12.838623058979843,0.5855798381520326,0.0,0.0,10.67188280001421,0.472455726176571,1,0,0,12.838623058979843
4,3,681,11.147858556792016,0.8042165576889467,0.0,0.0,0.0,0.0,1,0,0,11.147858556792016
5,101,1445,0.0,0.0,10.948072085541998,0.5160184248807363,0.0,0.0,0,1,0,10.948072085541998
6,4,978,10.885373635559512,0.7228375680687108,2.5266718587803347,0.8140057728965778,0.0,0.0,1,0,0,10.885373635559512
7,102,488,0.0,0.0,10.814396997653793,0.3932153999687022,0.0,0.0,0,1,0,10.814396997653793
8,103,1365,0.0,0.0,10.771763228336628,0.8100551725438077,0.0,0.0,0,1,0,10.771763228336628
9,5,948,10.552897210733692,0.8386172792172563,0.0,0.0,0.0,0.0,1,0,0,10.552897210733692
10,6,1237,10.117174184570391,0.7627387057818541,0.0,0.0,0.0,0.0,1,0,0,10.117174184570391
11,7,1443,9.541731381884972,0.764655562551237,4.795520055971155,0.6657123961009943,0.0,0.0,1,0,0,9.541731381884972
12,8,665,9.205249899554092,0.6857891021558349,0.0,0.0,0.0,0.0,1,0,0,9.205249899554092
13,9,1226,8.995729117603494,0.8913403629067808,0.0,0.0,5.5028788836711655,0.8996804878518416,1,0,0,8.995729117603494
14,10,1076,8.929359461496007,0.3158560834374189,2.381699783719048,0.7569204680993208,0.0,0.0,1,0,0,8.929359461496007
15,104,206,0.0,0.0,8.91618505140935,0.7770994654373063,0.0,0.0,0,1,0,8.91618505140935
16,11,41,8.915614767171334,0.6655836674305294,1.7536158878699548,0.2891997946346136,0.0,0.0,1,0,0,8.915614767171334
17,12,1474,8.881681617698224,0.5536523639912552,0.0,0.0,0.0,0.0,1,0,0,8.881681617698224
18,13,164,8.758843620724623,0.7094201204617424,1.8347372918351552,0.3534140464685378,0.0,0.0,1,0,0,8.758843620724623
19,14,834,8.731817336009424,0.6362758228001162,0.0,0.0,0.0,0.0,1,0,0,8.731817336009424
20,182,596,0.0,0.0,0.0,0.0,8.584244429544041,0.4808855826927963,0,0,1,8.584244429544041
21,15,54,8.537172939213818,0.6178222297862305,0.0,0.0,0.0,0.0,1,0,0,8.537172939213818
22,105,389,0.0,0.0,8.324121658542099,0.8259413040313682,4.532577712418241,0.7759895701069036,0,1,0,8.324121658542099
23,16,125,8.3028932049085,0.5542372350157599,0.0,0.0,0.0,0.0,1,0,0,8.3028932049085
24,17,710,8.216575608436402,0.4906964931760208,0.0,0.0,0.0,0.0,1,0,0,8.216575608436402
25,18,1358,8.206421258309868,0.5249696872319746,0.0,0.0,0.0,0.0,1,0,0,8.206421258309868
26,19,674,7.975466666073501,0.539178993223044,0.0,0.0,0.0,0.0,1,0,0,7.975466666073501
27,20,1064,7.927963455736767,0.594823655856371,0.0,0.0,1.3393217065344054,0.3262463513987089,1,0,0,7.927963455736767
28,21,1343,7.885064303201039,0.6783440336104302,0.0,0.0,0.0,0.0,1,0,0,7.885064303201039
29,22,1200,7.825382668048632,0.814351190043376,4.468176015895188,0.58593515087719,2.556653069907352,0.4651537133733039,1,0,0,7.825382668048632
30,23,504,7.774966959924254,0.7452685314432445,1.7530521752792505,0.6674024704872149,0.0,0.0,1,0,0,7.774966959924254
31,183,1610,0.0,0.0,0.0,0.0,7.772403215146758,0.6594254191622733,0,0,1,7.772403215146758
32,24,717,7.566266540870997,0.4594292435770313,0.0,0.0,0.0,0.0,1,0,0,7.566266540870997
33,25,522,7.532947817442816,0.4778573804317508,0.0,0.0,0.0,0.0,1,0,0,7.532947817442816
34,184,1510,0.0,0.0,0.0,0.0,7.398978326951076,0.7359644108437107,0,0,1,7.398978326951076
35,26,1597,7.1727503962020425,0.4853192182190824,2.94614429588911,0.3429720813688147,0.0,0.0,1,0,0,7.1727503962020425
36,27,1123,7.003407904800936,0.4486370053767577,0.0,0.0,0.0,0.0,1,0,0,7.003407904800936
37,28,1248,6.921697410842175,0.4080649127982139,0.0,0.0,2.3012684067453613,0.3010693985219767,1,0,0,6.921697410842175
38,29,119,6.9059504448923565,0.4985189095708678,0.0,0.0,1.555289903917982,0.3490726119492821,1,0,0,6.9059504448923565
39,30,1377,6.800645612474853,0.4589123037672886,0.0,0.0,0.0,0.0,1,0,0,6.800645612474853
